dia_semana;hora;qtd
3;1;4
3;2;0
3;3;0
3;4;1
3;5;0
3;6;6
3;7;5
3;8;13
3;9;24
3;10;19
3;11;19
3;12;18
3;13;14
3;14;30
3;15;18
3;16;10
3;17;15
3;18;8
3;19;9
3;20;5
3;21;2
3;22;1
3;23;0
4;1;0
4;2;0
4;3;1
4;4;0
4;5;1
4;6;0
4;7;3
4;8;16
4;9;11
4;10;7
4;11;3
4;12;1
4;13;10
4;14;14
4;15;24
4;16;19
4;17;17
4;18;21
4;19;16
4;20;9
4;21;2
4;22;2
4;23;0
5;1;0
5;2;0
5;3;0
5;4;0
5;5;0
5;6;30
5;7;79
5;8;182
5;9;216
5;10;217
5;11;195
5;12;93
5;13;127
5;14;160
5;15;257
5;16;143
5;17;178
5;18;101
5;19;117
5;20;121
5;21;63
5;22;48
5;23;13
6;1;2
6;2;0
6;3;1
6;4;1
6;5;0
6;6;9
6;7;100
6;8;162
6;9;211
6;10;170
6;11;157
6;12;100
6;13;260
6;14;262
6;15;391
6;16;264
6;17;279
6;18;176
6;19;141
6;20;116
6;21;77
6;22;55
6;23;12
0;1;1
0;2;1
0;3;0
0;4;0
0;5;2
0;6;4
0;7;113
0;8;207
0;9;279
0;10;344
0;11;230
0;12;166
0;13;232
0;14;238
0;15;364
0;16;221
0;17;235
0;18;140
0;19;99
0;20;99
0;21;79
0;22;47
0;23;18
1;1;9
1;2;1
1;3;1
1;4;1
1;5;1
1;6;9
1;7;81
1;8;162
1;9;202
1;10;260
1;11;187
1;12;97
1;13;223
1;14;198
1;15;360
1;16;228
1;17;238
1;18;155
1;19;134
1;20;78
1;21;94
1;22;59
1;23;4
2;1;3
2;2;0
2;3;1
2;4;1
2;5;0
2;6;5
2;7;143
2;8;181
2;9;237
2;10;220
2;11;201
2;12;107
2;13;165
2;14;148
2;15;282
2;16;169
2;17;137
2;18;109
2;19;120
2;20;95
2;21;37
2;22;42
2;23;6
3;1;3
3;2;0
3;3;1
3;4;0
3;5;1
3;6;0
3;7;1
3;8;0
3;9;0
3;10;0
3;11;0
3;12;0
3;13;0
3;14;1
3;15;1
3;16;0
3;17;0
3;18;0
3;19;0
3;20;1
3;21;0
3;22;0
3;23;0
4;1;0
4;2;0
4;3;0
4;4;0
4;5;2
4;6;10
4;7;108
4;8;210
4;9;241
4;10;260
4;11;201
4;12;86
4;13;279
4;14;221
4;15;283
4;16;177
4;17;153
4;18;125
4;19;133
4;20;139
4;21;73
4;22;43
4;23;5
5;1;4
5;2;0
5;3;1
5;4;0
5;5;5
5;6;23
5;7;134
5;8;319
5;9;476
5;10;450
5;11;421
5;12;104
5;13;146
5;14;139
5;15;244
5;16;134
5;17;109
5;18;61
5;19;129
5;20;98
5;21;33
5;22;31
5;23;11
6;1;1
6;2;2
6;3;0
6;4;3
6;5;0
6;6;1
6;7;2
6;8;0
6;9;13
6;10;6
6;11;11
6;12;7
6;13;9
6;14;16
6;15;9
6;16;15
6;17;7
6;18;9
6;19;6
6;20;9
6;21;2
6;22;1
6;23;1
0;1;1
0;2;0
0;3;0
0;4;1
0;5;1
0;6;0
0;7;2
0;8;3
0;9;3
0;10;2
0;11;1
0;12;1
0;13;1
0;14;18
0;15;8
0;16;13
0;17;13
0;18;3
0;19;6
0;20;3
0;21;1
0;22;3
0;23;2
1;1;2
1;2;1
1;3;1
1;4;1
1;5;2
1;6;14
1;7;129
1;8;149
1;9;223
1;10;239
1;11;205
1;12;110
1;13;209
1;14;257
1;15;279
1;16;148
1;17;132
1;18;75
1;19;88
1;20;84
1;21;73
1;22;53
1;23;10
2;1;6
2;2;0
2;3;0
2;4;1
2;5;2
2;6;9
2;7;147
2;8;199
2;9;260
2;10;176
2;11;152
2;12;108
2;13;225
2;14;232
2;15;435
2;16;242
2;17;192
2;18;144
2;19;129
2;20;120
2;21;88
2;22;54
2;23;6
3;1;2
3;2;1
3;3;0
3;4;1
3;5;8
3;6;42
3;7;91
3;8;144
3;9;184
3;10;157
3;11;82
3;12;43
3;13;140
3;14;146
3;15;185
3;16;119
3;17;84
3;18;62
3;19;97
3;20;46
3;21;41
3;22;18
3;23;12
4;1;4
4;2;0
4;3;0
4;4;1
4;5;0
4;6;12
4;7;102
4;8;186
4;9;231
4;10;241
4;11;199
4;12;109
4;13;258
4;14;236
4;15;365
4;16;283
4;17;230
4;18;155
4;19;84
4;20;91
4;21;62
4;22;56
4;23;14
5;1;4
5;2;4
5;3;1
5;4;2
5;5;0
5;6;7
5;7;122
5;8;247
5;9;248
5;10;246
5;11;211
5;12;98
5;13;171
5;14;202
5;15;295
5;16;167
5;17;133
5;18;96
5;19;90
5;20;81
5;21;44
5;22;46
5;23;5
6;1;0
6;2;2
6;3;1
6;4;0
6;5;1
6;6;1
6;7;2
6;8;7
6;9;83
6;10;45
6;11;68
6;12;31
6;13;4
6;14;9
6;15;6
6;16;3
6;17;11
6;18;8
6;19;3
6;20;2
6;21;4
6;22;2
6;23;6
0;1;2
0;2;1
0;3;1
0;4;0
0;5;2
0;6;1
0;7;1
0;8;1
0;9;3
0;10;3
0;11;7
0;12;1
0;13;7
0;14;13
0;15;51
0;16;19
0;17;13
0;18;19
0;19;8
0;20;4
0;21;4
0;22;6
0;23;0
1;1;0
1;2;0
1;3;0
1;4;1
1;5;0
1;6;13
1;7;103
1;8;170
1;9;212
1;10;229
1;11;184
1;12;129
1;13;181
1;14;203
1;15;333
1;16;144
1;17;164
1;18;95
1;19;89
1;20;143
1;21;102
1;22;72
1;23;9
2;1;0
2;2;1
2;3;0
2;4;1
2;5;0
2;6;4
2;7;90
2;8;158
2;9;245
2;10;170
2;11;158
2;12;96
2;13;228
2;14;175
2;15;414
2;16;229
2;17;225
2;18;176
2;19;98
2;20;129
2;21;84
2;22;62
2;23;17
3;1;3
3;2;0
3;3;0
3;4;0
3;5;1
3;6;9
3;7;130
3;8;227
3;9;286
3;10;283
3;11;226
3;12;125
3;13;250
3;14;258
3;15;359
3;16;152
3;17;180
3;18;98
3;19;61
3;20;171
3;21;126
3;22;107
3;23;34
4;1;3
4;2;1
4;3;0
4;4;1
4;5;0
4;6;7
4;7;77
4;8;119
4;9;193
4;10;213
4;11;151
4;12;98
4;13;257
4;14;237
4;15;333
4;16;204
4;17;194
4;18;163
4;19;129
4;20;108
4;21;89
4;22;45
4;23;4
5;1;8
5;2;0
5;3;0
5;4;1
5;5;1
5;6;10
5;7;120
5;8;199
5;9;244
5;10;261
5;11;224
5;12;99
5;13;157
5;14;189
5;15;341
5;16;132
5;17;147
5;18;78
5;19;80
5;20;115
5;21;45
5;22;44
5;23;5
6;1;1
6;2;1
6;3;0
6;4;0
6;5;2
6;6;1
6;7;10
6;8;21
6;9;21
6;10;23
6;11;21
6;12;17
6;13;11
6;14;17
6;15;8
6;16;21
6;17;7
6;18;16
6;19;11
6;20;10
6;21;5
6;22;7
6;23;3
0;1;0
0;2;2
0;3;1
0;4;0
0;5;1
0;6;2
0;7;0
0;8;1
0;9;6
0;10;7
0;11;0
0;12;4
0;13;18
0;14;38
0;15;17
0;16;19
0;17;17
0;18;22
0;19;11
0;20;5
0;21;8
0;22;5
0;23;2
1;1;1
1;2;0
1;3;0
1;4;1
1;5;0
1;6;8
1;7;89
1;8;192
1;9;263
1;10;221
1;11;165
1;12;119
1;13;219
1;14;203
1;15;284
1;16;182
1;17;267
1;18;146
1;19;101
1;20;127
1;21;79
1;22;91
1;23;9
2;1;4
2;2;0
2;3;0
2;4;2
2;5;0
2;6;7
2;7;93
2;8;200
2;9;254
2;10;118
2;11;148
2;12;99
2;13;250
2;14;210
2;15;331
2;16;277
2;17;232
2;18;208
2;19;125
2;20;146
2;21;69
2;22;39
2;23;15
3;1;1
3;2;0
3;3;0
3;4;1
3;5;0
3;6;20
3;7;114
3;8;194
3;9;276
3;10;277
3;11;272
3;12;153
3;13;310
3;14;304
3;15;413
3;16;287
3;17;222
3;18;175
3;19;90
3;20;122
3;21;81
3;22;42
3;23;14
4;1;1
4;2;1
4;3;0
4;4;0
4;5;1
4;6;7
4;7;72
4;8;151
4;9;254
4;10;279
4;11;188
4;12;103
4;13;218
4;14;247
4;15;376
4;16;217
4;17;232
4;18;139
4;19;145
4;20;154
4;21;77
4;22;36
4;23;10
5;1;1
5;2;1
5;3;2
5;4;3
5;5;2
5;6;13
5;7;120
5;8;167
5;9;258
5;10;192
5;11;134
5;12;88
5;13;165
5;14;159
5;15;263
5;16;136
5;17;119
5;18;96
5;19;107
5;20;77
5;21;27
5;22;30
5;23;5
